Account Name,Preparer,Status
"GONZALEZ, DANIEL AND DANIELLE",Caitlin White,Final
"SCOTT, ZOEY",Kathy McGinnis,Next Year
"ALLEN, LUCAS",Caitlin White,Amended
"GARCIA, JANET X.",Tim Chiochios,Amended
"RIVERA, ISABELLA",Tim Chiochios,Final
"WILSON, BARBARA AND CHLOE",Andy Andrikopoulos,Paper Return
"JOHNSON, MICHAEL B",Tim Chiochios,Paper Return
"CARLTON, BEN",Caitlin White,Planning
"CLARK, NOAH",Kathryn Kauffman,Paper Return
"DOE, JOHN",Kathy McGinnis,Planning
"LOPEZ, CARLOS BRENNA",Caitlin White,Paper Return
"CARLOS, LOPEZ",Caitlin White,
"MOORE, BEN AND AVA",Caitlin White,Next Year
"CHEN, KEVIN V SYMPHONY",Jenny Wang,Not Processed
"MOORE, BENJAMIN",Caitlin White,Final
"NGUYEN, LISA AND JANET",Jenny Wang,Next Year
"FOSTER, ELI",Kathryn Kauffman,
"EVANS, AUDREY",,
"WILSON, BALEX",Jenny Wang,Amended
"PENNEGRIN, MARIA D.",,Next Year
"KIM, GRACE",Kathryn Kauffman,Proforma'd
"JACKSON-PETER, PENELOPE",Tim Chiochios,Not Processed
"GARCIA, MARIA D.",Andy Andrikopoulos,Not Processed
"ROSS, STELLA",Andy Andrikopoulos,
"RODRIGUEZ, LILY",Jenny Wang,Next Year
"BENJAMIN, MOORA",Kathy McGinnis,Amended
"MORRIS, ISAAC",Andy Andrikopoulos,Next Year
"NGUYEN, HOLLIE AND DEBRA",Tim Chiochios,Not Processed
"OH, PHELIA",Tim Chiochios,Planning
"JOHNSON, JANICE B",,Proforma'd
"BROWN, SARAH & EMILY WHITE",Jenny Wang,Next Year
"GREEN, DYLAN",Tim Chiochios,Proforma'd
"MOORE, ROSE",Tim Chiochios,Amended
"ADAMS, B ROBERT",Andy Andrikopoulos,Paper Return
"BAKER, VICTORIA",Tim Chiochios,Planning
"TAYLOR-LAWRENCE, JESSICA",Kathy McGinnis,Proforma'd
"WANG, CALEB J",Caitlin White,Paper Return
"SMITH, EMILY AND SARAH",Jenny Wang,Paper Return
"COOPER, CALEB",Caitlin White,Planning
"YOUNG, ELIJAH",,Amended
"SMITH, ANGELICA AND SARAH",Kathy McGinnis,Next Year
"MOORESY, BENJAMIN",Andy Andrikopoulos,Not Processed
"GONZALEZ, BEATRICE",Kathryn Kauffman,Next Year
"HANDSOME, VALERIE",Kathy McGinnis,Amended
"HALL, NATALIE",Tim Chiochios,Next Year
"EVANSON, AUDREY",Kathryn Kauffman,Amended
"WILSON, ALEXIS V",Kathy McGinnis,Not Processed
"WILSON, SOPHIA",Andy Andrikopoulos,Proforma'd
"WANG, JENNIFER D AND JOSEPH B",Andy Andrikopoulos,Paper Return
"BAILEY, PENELOPE",Andy Andrikopoulos,
"BARNES, OLIVER",Kathryn Kauffman,Proforma'd
"BROWN, JACOB & ROBERT WHITE",Caitlin White,Not Processed
"GRAY, SYDNEY",Caitlin White,
"WARD, XAVIER",Andy Andrikopoulos,Amended
"JOHNSON, BROTHER SAMUEL",Kathryn Kauffman,Not Processed
"ROBERTS, ALEXANDER",Kathryn Kauffman,Final
"WANG, ALEXA",Kathy McGinnis,Planning
"WILSON, ALEXANDRA AND CHLOE",Jenny Wang,Planning
"HALLESEY, NATALIA",,Not Processed
"KING, SAMUEL",Caitlin White,Not Processed
