"Account Name","Preparer","Status","Street","City","State","Zip"
"Gonzalez, Daniel and Danielle",6,Tax Client - Appt (In Person),18 John Wall Plaza,Columbus,OH,27364
"Scott, Zoey",8,Tax Client - Appt (Teams),11 Holy Cross Point,Los Angeles,CA,02127
"Allen, Lucas",6,Tax Client - Mail,88 Meadow Ridge Drive,Los Angeles,CA,27101
"Garcia, Janet X.",2,Tax Client - Appt (Teams),2637 Maryland Terrace,Houston,TX,03774
"Rivera, Isabella",2,Tax Client - Appt (In Person),8398 Rowland Place,Dayton,OH,68644
"Wilson, Barbara and Chloe",1,Tax Client - Appt (Teams),3 Nelson Alley,Las Cruces,NM,15345
"Johnson, Michael B",2,Tax Client - Appt (Teams),17387 Onsgard Parkway,Salt Lake City,UT,62545
"Carlton, Ben",6,Tax Client - Mail,876 Mcbride Junction,Los Angeles,CA,92767
"Clark, Noah",4,Tax Client - Appt (Teams),5 Schlimgen Circle,Aurora,CO,85840
"Doe, John",8,Tax Client - No Mail,4 Bartillon Lane,Oklahoma City,OK,06772
"Lopez, Carlos Brenna",6,Tax Client - Appt (Teams),698 Fremont Terrace,Philadelphia,PA,34275
"Carlos, Lopez",6,,82 Sachs Place,Dallas,TX,90859
"Moore, Ben and Ava",6,Tax Client - Mail,644 Ruskin Pass,Sunnyvale,CA,78524
"Chen, Kevin V Symphony",7,Former,18 Briar Crest Place,Montgomery,AL,96472
"Moore, Benjamin",6,Tax Client - Mail,9389 Dottie Street,Valdosta,GA,
"Nguyen, Lisa and Janet",7,Tax Client - Mail,668 Golf Lane,Fresno,CA,43366
"Evans, Audrey",2,,7 Oxford Avenue,Los Angeles,CA,43346
"Wilson, Balex",7,Tax Client - Mail,94 Little Fleur Place,Fort Wayne,IN,78481
"Pennegrin, Maria D.",,Tax Client - No Mail,922 Elka Crossing,Sioux Falls,SD,28199
"Kim, Grace",4,Former,35 Tony Center,Austin,TX,03409
"Garcia, Maria D.",1,Former,29 Chinook Lane,New Haven,CT,61182
"Ross, Stella",1,,57 Ludington Plaza,Corpus Christi,,14075
"Rodriguez, Lily",7,Tax Client - No Appt,1702 Gateway Alley,Cincinnati,OH,78505
"Benjamin, Moora",8,Tax Client - No Mail,57 Hanson Parkway,Portland,OR,32082
"Morris, Isaac",1,Tax Client - No Appt,6 Wood Drive,Frederick,MD,89829
"Nguyen, Hollie and Debra",2,Former,40 Maple Wood Way,Indianapolis,,74236
"Oh, Phelia",1,Tax Client - No Appt,35561 Mosinee Plaza,Toledo,OH,46073
"Johnson, Janice B",,Tax Client - No Appt,4 Porter Place,Wichita Falls,TX,65592
"Brown, Sarah & Emily White",7,Tax Client - No Appt,85448 Blaine Circle,Cleveland,OH,25122
"Green, Dylan",2,Tax Client - Mail,45 Blackbird Plaza,Frederick,MD,34416
"Moore, Rose",2,Tax Client - Appt (Teams),6109 Raven Center,Oklahoma City,OK,41701
"Adams, B Robert",1,Tax Client - Appt (Teams),9 Shasta Circle,Austin,TX,
"Taylor-Lawrence, Jessica",8,Tax Client - Appt (In Person),85 High Crossing Pass,Orlando,FL,46106
"Wang, Caleb J",6,Tax Client - Appt (Teams),10260 Katie Crossing,Charlotte,NC,66409
"Smith, Emily and Sarah",7,7,64726 Aberg Center,Sacramento,CA,04011
"Cooper, Caleb",6,Tax Client - Appt (In Person),30 Mccormick Park,Sacramento,CA,59942
"Young, Elijah",,Tax Client - Appt (Teams),52 Vera Lane,Memphis,TN,56067
"Smith, Angelica and Sarah",8,Tax Client - Appt (Teams),,Kansas City,MO,02248
"Mooresy, Benjamin",1,Former,2885 Michigan Plaza,Memphis,TN,
"Gonzalez, Beatrice",4,Tax Client - No Appt,858 Manley Circle,Dayton,OH,07423
"Handsome, Valerie",8,Tax Client - No Appt,48549 Trailsway Avenue,Akron,OH,
"Hall, Natalie",2,Tax Client - No Appt,85 Redwing Lane,Richmond,VA,16125
"Evanson, Audrey",4,Tax Client - No Appt,0 Mitchell Drive,Waltham,MA,40556
"Wilson, Alexis V",8,Tax Client - Appt (Teams),725 Onsgard Junction,Detroit,MI,68294
"Wilson, Sophia",1,Tax Client - Appt (Teams),3335 Cambridge Cir,Petersburg,FL,62334
"Wang, Jennifer D and Joseph B",1,Former,961 Westerfield Terrace,College Station,TX,05750
"Bailey, Penelope",1,,04954 Gina Way,Colorado Springs,CO,55562
"Barnes, Oliver",4,Tax Client - Appt (Teams),763 Declaration Court,Clearwater,FL,09990
"Brown, Jacob & Robert White",6,Former,9382 Merry Street,Cincinnati,OH,10293
"Gray, Sydney",6,,548 Reinke Hill,,FL,
"Ward, Xavier",1,Tax Client - Appt (Teams),69 Arizona Court,New York City,NY,80268
"Johnson, Brother Samuel",4,Former,18057 Prairie Rose Place,Trenton,NJ,01328
"Roberts, Alexander",4,'Tax Client - Appt (In Person)',454 Springview Junction,Fort Worth,TX,97665
"Wang, Alexa",8,Tax Client - Appt (Teams),51 Anniversary Circle,Round Rock,CA,80222
"Wilson, Alexandra and Chloe",7,Tax Client - Appt (In Person),9716 Huxley Parkway,Pensacola,FL,93537
